fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,_ordinance_amount_
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,Salaries and Wages - on Payroll,10707977
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0039,For the Employment of Students as Trainees,57490
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0126,Office Conveniences,1500
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0130,Postage,500
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,12000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0149,For Software Maintenance and Licensing,32107
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0157,Rental of Equipment and Services,500
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0159,Lease Purchase Agreements for Equipment and Machinery,25000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0162,Repair/Maintenance of Equipment,1000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0166,"Dues, Subscriptions and Memberships",225094
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0169,Technical Meeting Costs,2000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0245,Reimbursement to Travelers,25000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0350,Stationery and Office Supplies,4000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,9121,For Payment of Costs Associated with Lobbyist Activities on Behalf of the City of Chicago,316000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,Salaries and Wages - on Payroll,470873
